date,iso_code,continent,location,reproduction_rate,positive_rate,new_tests_smoothed,new_vaccinations_smoothed,stringency_index,new_cases_smoothed
2020-01-05,ARG,South America,Argentina,2.38,0.168,40.0,0.0,0.0,0.0
2020-01-06,ARG,South America,Argentina,2.38,0.168,40.0,0.0,0.0,0.0
2020-01-07,ARG,South America,Argentina,2.38,0.168,40.0,0.0,0.0,0.0
2020-01-08,ARG,South America,Argentina,2.38,0.164,40.0,0.0,0.0,0.0
2020-01-09,ARG,South America,Argentina,2.38,0.14,27.0,0.0,0.0,0.0
2020-01-10,ARG,South America,Argentina,2.38,0.104,37.0,0.0,0.0,0.0
2020-01-11,ARG,South America,Argentina,2.38,0.103,26.0,0.0,0.0,0.0
2020-01-12,ARG,South America,Argentina,2.38,0.076,30.0,0.0,0.0,0.0
2020-01-13,ARG,South America,Argentina,2.38,0.05,23.0,0.0,0.0,0.0
2020-01-14,ARG,South America,Argentina,2.38,0.038,19.0,0.0,0.0,0.0
2020-01-15,ARG,South America,Argentina,2.38,0.026,27.0,0.0,0.0,0.0
2020-01-16,ARG,South America,Argentina,2.38,0.026,28.0,0.0,0.0,0.0
2020-01-17,ARG,South America,Argentina,2.38,0.042,17.0,0.0,0.0,0.0
2020-01-18,ARG,South America,Argentina,2.38,0.049,17.0,0.0,0.0,0.0
2020-01-19,ARG,South America,Argentina,2.38,0.111,18.0,0.0,0.0,0.0
2020-01-20,ARG,South America,Argentina,2.38,0.117,18.0,0.0,0.0,0.0
2020-01-21,ARG,South America,Argentina,2.38,0.118,18.0,0.0,0.0,0.0
2020-01-22,ARG,South America,Argentina,2.38,0.222,9.0,0.0,0.0,0.0
2020-01-23,ARG,South America,Argentina,2.38,0.226,9.0,0.0,11.11,0.0
2020-01-24,ARG,South America,Argentina,2.38,0.231,8.0,0.0,11.11,0.0
2020-01-25,ARG,South America,Argentina,2.38,0.236,8.0,0.0,11.11,0.0
2020-01-26,ARG,South America,Argentina,2.38,0.241,2.0,0.0,11.11,0.0
2020-01-27,ARG,South America,Argentina,2.38,0.184,4.0,0.0,11.11,0.0
2020-01-28,ARG,South America,Argentina,2.38,0.152,4.0,0.0,11.11,0.0
2020-01-29,ARG,South America,Argentina,2.38,0.161,4.0,0.0,11.11,0.0
2020-01-30,ARG,South America,Argentina,2.38,0.163,7.0,0.0,11.11,0.0
2020-01-31,ARG,South America,Argentina,2.38,0.163,7.0,0.0,11.11,0.0
2020-02-01,ARG,South America,Argentina,2.38,0.094,12.0,0.0,11.11,0.0
2020-02-02,ARG,South America,Argentina,2.38,0.116,12.0,0.0,11.11,0.0
2020-02-03,ARG,South America,Argentina,2.38,0.127,9.0,0.0,11.11,0.0
2020-02-04,ARG,South America,Argentina,2.38,0.138,9.0,0.0,11.11,0.0
2020-02-05,ARG,South America,Argentina,2.38,0.12940000000000002,9.0,0.0,11.11,0.0
2020-02-06,ARG,South America,Argentina,2.38,0.1208,6.0,0.0,11.11,0.0
2020-02-07,ARG,South America,Argentina,2.38,0.11220000000000001,6.0,0.0,11.11,0.0
2020-02-08,ARG,South America,Argentina,2.38,0.1036,1.0,0.0,11.11,0.0
2020-02-09,ARG,South America,Argentina,2.38,0.095,0.0,0.0,11.11,0.0
2020-02-10,ARG,South America,Argentina,2.38,0.5,1.0,0.0,11.11,0.0
2020-02-11,ARG,South America,Argentina,2.38,0.364,1.0,0.0,11.11,0.0
2020-02-12,ARG,South America,Argentina,2.38,0.222,2.0,0.0,11.11,0.0
2020-02-13,ARG,South America,Argentina,2.38,0.222,3.0,0.0,11.11,0.0
2020-02-14,ARG,South America,Argentina,2.38,0.23020000000000002,3.0,0.0,11.11,0.0
2020-02-15,ARG,South America,Argentina,2.38,0.2384,3.0,0.0,11.11,0.0
2020-02-16,ARG,South America,Argentina,2.38,0.2466,3.0,0.0,11.11,0.0
2020-02-17,ARG,South America,Argentina,2.38,0.2548,2.0,0.0,11.11,0.0
2020-02-18,ARG,South America,Argentina,2.38,0.263,1.0,0.0,11.11,0.0
2020-02-19,ARG,South America,Argentina,2.38,0.3,0.0,0.0,11.11,0.0
2020-02-20,ARG,South America,Argentina,2.38,0.286,1.0,0.0,11.11,0.0
2020-02-21,ARG,South America,Argentina,2.38,0.30274999999999996,1.0,0.0,11.11,0.0
2020-02-22,ARG,South America,Argentina,2.38,0.3195,1.0,0.0,11.11,0.0
2020-02-23,ARG,South America,Argentina,2.38,0.33625,1.0,0.0,11.11,0.0
2020-02-24,ARG,South America,Argentina,2.38,0.353,1.0,0.0,11.11,0.0
2020-02-25,ARG,South America,Argentina,2.38,0.118,4.0,0.0,11.11,0.0
2020-02-26,ARG,South America,Argentina,2.38,0.1075,4.0,0.0,11.11,0.0
